condition,time
dictionary,4303
gibberish,5701
gibberish,5864
gibberish,4727
gibberish,5430
gibberish,4783
gibberish,4216
gibberish,4735
gibberish,5144
gibberish,5135
gibberish,4431
dictionary,3284
dictionary,2215
dictionary,2312
dictionary,1688
dictionary,3599
dictionary,2016
dictionary,1735
dictionary,3119
dictionary,2064
dictionary,2639
gibberish,4256
gibberish,9239
gibberish,5455
gibberish,4311
gibberish,2912
gibberish,13974
gibberish,2519
gibberish,4288
gibberish,3782
gibberish,4591
dictionary,4962
dictionary,5384
dictionary,5867
dictionary,5441
dictionary,3585
dictionary,7042
dictionary,2952
dictionary,6682
dictionary,4161
dictionary,4249
gibberish,13992
gibberish,7241
gibberish,7962
gibberish,9706
gibberish,9259
gibberish,7489
gibberish,5993
gibberish,6569
gibberish,8521
gibberish,9074
dictionary,3780
dictionary,4394
dictionary,3240
dictionary,6170
dictionary,2761
dictionary,2736
dictionary,4129
dictionary,4185
dictionary,2217
dictionary,5457
gibberish,11439
gibberish,4129
gibberish,4825
gibberish,6570
gibberish,9546
gibberish,3585
gibberish,9689
gibberish,4514
gibberish,6449
gibberish,10035
